invoiceno,stockcode,quantity,invoicedate,customerid
539663,22379,1,2010-12-21 10:26:00.000000,17961
539933,21212,24,2010-12-23 11:24:00.000000,15235
540099,21175,12,2011-01-04 16:41:00.000000,15808
537131,22429,1,2010-12-05 12:26:00.000000,15716
541266,21563,9,2011-01-16 16:25:00.000000,15673
540795,21754,3,2011-01-11 12:00:00.000000,13078
538397,21210,60,2010-12-12 11:44:00.000000,12753
541552,20712,11,2011-01-19 11:15:00.000000,15039
537354,20724,5,2010-12-06 12:23:00.000000,12748
539859,21194,15,2010-12-22 16:23:00.000000,17905
540803,22962,6,2011-01-11 12:30:00.000000,14669
537144,21174,1,2010-12-05 13:00:00.000000,15880
539659,22681,20,2010-12-21 09:47:00.000000,15034
540515,21555,2,2011-01-09 11:54:00.000000,15059
538312,21890,3,2010-12-10 13:48:00.000000,16727
538710,10135,20,2010-12-14 10:48:00.000000,18075
541567,22313,24,2011-01-19 11:51:00.000000,12681
538207,22796,2,2010-12-10 11:33:00.000000,12748
539581,84509G,12,2010-12-20 12:51:00.000000,16143
540267,22518,36,2011-01-06 11:12:00.000000,12415
537538,21114,10,2010-12-07 11:49:00.000000,15353
540372,20963,10,2011-01-06 16:41:00.000000,13081
538854,22191,2,2010-12-14 13:44:00.000000,13102
540372,22970,36,2011-01-06 16:41:00.000000,13081
536973,85130A,24,2010-12-03 13:43:00.000000,17787
538662,85035C,24,2010-12-13 15:44:00.000000,15159
537395,22728,1,2010-12-06 14:05:00.000000,15356
541684,85184C,25,2011-01-20 15:22:00.000000,15498
537653,21581,1,2010-12-07 15:54:00.000000,17897
541289,48173C,1,2011-01-17 13:23:00.000000,14606
540247,20723,2,2011-01-05 15:56:00.000000,15464
536532,20685,2,2010-12-01 13:24:00.000000,12433
538003,22729,12,2010-12-09 12:05:00.000000,12429
540946,20705,8,2011-01-12 12:43:00.000000,12359
537825,82482,6,2010-12-08 14:36:00.000000,15005
540515,85152,4,2011-01-09 11:54:00.000000,15059
540532,22841,2,2011-01-09 14:11:00.000000,14702
540351,85032A,6,2011-01-06 14:26:00.000000,12735
537441,21872,6,2010-12-06 17:26:00.000000,13564
541518,22243,48,2011-01-19 09:05:00.000000,12451
539469,22174,1,2010-12-19 13:59:00.000000,17841
538634,22577,6,2010-12-13 13:28:00.000000,14085
541266,22630,2,2011-01-16 16:25:00.000000,15673
539826,22654,6,2010-12-22 12:39:00.000000,15044
537795,85123A,12,2010-12-08 13:03:00.000000,17213
540350,21907,1,2011-01-06 14:14:00.000000,18283
538630,22652,20,2010-12-13 13:25:00.000000,14565
540480,85014B,3,2011-01-07 15:27:00.000000,12480
540996,47590A,3,2011-01-13 09:40:00.000000,17068
541489,22147,4,2011-01-18 13:38:00.000000,15023
538814,22520,1,2010-12-14 12:30:00.000000,15983
539002,21527,1,2010-12-15 12:30:00.000000,14527
537334,22891,1,2010-12-06 12:06:00.000000,16719
538106,22816,12,2010-12-09 15:20:00.000000,17950
538662,84823,12,2010-12-13 15:44:00.000000,15159
539953,85018D,1,2010-12-23 12:03:00.000000,12748
537265,47594A,1,2010-12-06 11:26:00.000000,15919
C536548,22245,-2,2010-12-01 14:33:00.000000,12472
540179,22653,2,2011-01-05 12:54:00.000000,16033
C539644,22423,-21,2010-12-20 15:52:00.000000,12471
537634,21485,2,2010-12-07 15:15:00.000000,16775
537429,84970S,12,2010-12-06 15:54:00.000000,12748
537141,22627,1,2010-12-05 12:57:00.000000,15570
537794,20685,2,2010-12-08 13:01:00.000000,16713
539414,22731,3,2010-12-17 13:45:00.000000,16931
541410,22759,12,2011-01-17 16:06:00.000000,13089
539084,21870,12,2010-12-16 09:31:00.000000,13890
538145,22469,12,2010-12-09 16:08:00.000000,15211
540499,22148,8,2011-01-09 10:21:00.000000,16923
540458,21096,12,2011-01-07 12:28:00.000000,12501
