invoiceno,stockcode,quantity,invoicedate,customerid
537127,85123A,128,2010-12-05 12:13:00.000000,13831
537141,21485,4,2010-12-05 12:57:00.000000,15570
536539,21625,3,2010-12-01 14:03:00.000000,15165
538855,84580,4,2010-12-14 13:50:00.000000,16503
541406,22228,3,2011-01-17 15:19:00.000000,14657
540183,22037,12,2011-01-05 13:37:00.000000,15093
540260,21481,6,2011-01-06 09:40:00.000000,13097
541292,22131,6,2011-01-17 13:30:00.000000,15596
537794,22665,2,2010-12-08 13:01:00.000000,16713
540414,22892,24,2011-01-07 10:32:00.000000,12481
541518,21883,24,2011-01-19 09:05:00.000000,12451
538191,48187,30,2010-12-10 10:49:00.000000,15061
539039,20725,10,2010-12-15 15:00:00.000000,13124
537781,21558,1,2010-12-08 12:46:00.000000,17341
537631,22961,12,2010-12-07 15:04:00.000000,17419
537387,82484,3,2010-12-06 13:34:00.000000,13468
540275,84997B,24,2011-01-06 12:11:00.000000,13680
537892,22328,6,2010-12-09 10:13:00.000000,12481
538636,21528,2,2010-12-13 13:50:00.000000,14639
540538,22726,1,2011-01-09 14:36:00.000000,17841
538067,21791,1,2010-12-09 13:59:00.000000,15288
540957,20676,4,2011-01-12 13:30:00.000000,15311
537890,22931,6,2010-12-09 10:04:00.000000,15358
541518,22098,12,2011-01-19 09:05:00.000000,12451
540247,21269,1,2011-01-05 15:56:00.000000,15464
540353,21899,3,2011-01-06 14:53:00.000000,13764
540113,84819,16,2011-01-05 09:11:00.000000,13126
538011,21899,25,2010-12-09 12:24:00.000000,14896
540519,20725,20,2011-01-09 12:12:00.000000,12793
537395,22659,1,2010-12-06 14:05:00.000000,15356
537225,22075,1,2010-12-05 16:41:00.000000,12748
539103,21498,25,2010-12-16 10:38:00.000000,16985
541279,22726,4,2011-01-17 11:55:00.000000,18223
537262,21973,6,2010-12-06 11:26:00.000000,15039
536570,84836,12,2010-12-01 15:35:00.000000,14496
539050,21980,1,2010-12-15 16:21:00.000000,12577
537707,22969,12,2010-12-08 10:53:00.000000,14032
538634,21340,1,2010-12-13 13:28:00.000000,14085
540859,21534,1,2011-01-12 10:58:00.000000,17965
541485,22520,2,2011-01-18 13:05:00.000000,18118
541575,20675,8,2011-01-19 13:21:00.000000,15311
C537805,22198,-1,2010-12-08 13:18:00.000000,15311
537265,21039,1,2010-12-06 11:26:00.000000,15919
538917,22804,2,2010-12-15 10:57:00.000000,17449
539464,21877,2,2010-12-19 11:35:00.000000,17913
539107,21915,48,2010-12-16 10:52:00.000000,16705
539009,22425,2,2010-12-15 13:24:00.000000,13221
540750,20726,10,2011-01-11 10:26:00.000000,16351
540248,21206,2,2011-01-05 15:57:00.000000,15034
541631,22729,8,2011-01-20 10:47:00.000000,12637
538866,21934,1,2010-12-14 14:40:00.000000,17841
539075,22565,1,2010-12-15 17:28:00.000000,17189
541115,22525,12,2011-01-13 15:34:00.000000,12578
539609,22720,4,2010-12-20 14:15:00.000000,15527
537212,22346,12,2010-12-05 15:21:00.000000,12720
537866,21361,18,2010-12-08 16:45:00.000000,17655
536387,21731,432,2010-12-01 09:58:00.000000,16029
538453,21864,1,2010-12-12 12:26:00.000000,16779
541671,22858,6,2011-01-20 13:01:00.000000,14735
537457,21537,32,2010-12-07 09:51:00.000000,17511
538156,22569,3,2010-12-09 16:53:00.000000,15555
538507,21592,1,2010-12-12 13:26:00.000000,15547
540953,22083,2,2011-01-12 13:16:00.000000,14587
540943,20662,1,2011-01-12 12:31:00.000000,17841
537126,22918,2,2010-12-05 12:13:00.000000,18118
537606,85038,6,2010-12-07 13:16:00.000000,15002
538370,84946,6,2010-12-12 11:06:00.000000,16923
536983,POST,1,2010-12-03 14:30:00.000000,12712
541208,22396,24,2011-01-14 12:29:00.000000,15159
540798,22756,3,2011-01-11 12:11:00.000000,17365
538661,21314,8,2010-12-13 15:42:00.000000,15194
537372,21931,2,2010-12-06 12:52:00.000000,16919
537036,22077,1,2010-12-03 17:28:00.000000,15545
536500,21488,2,2010-12-01 12:35:00.000000,17377
539676,84879,8,2010-12-21 10:54:00.000000,12423
539982,21832,1,2010-12-23 14:40:00.000000,15311
540095,22249,6,2011-01-04 15:40:00.000000,14553
540373,21078,4,2011-01-06 17:10:00.000000,13280
541112,22524,10,2011-01-13 15:17:00.000000,18085
541429,22379,10,2011-01-18 09:44:00.000000,14688
538853,20983,2,2010-12-14 13:35:00.000000,16805
537370,21080,1,2010-12-06 12:44:00.000000,13155
539246,20757,3,2010-12-16 13:33:00.000000,14606
541576,21879,4,2011-01-19 13:32:00.000000,17097
540410,21452,6,2011-01-07 10:04:00.000000,12530
537852,21819,36,2010-12-08 15:56:00.000000,17340
539444,22810,48,2010-12-17 15:52:00.000000,14146
536390,22961,12,2010-12-01 10:19:00.000000,17511
540701,84879,160,2011-01-11 09:48:00.000000,15640
537129,21892,24,2010-12-05 12:15:00.000000,13506
537081,22751,16,2010-12-05 12:00:00.000000,15332
539629,22988,24,2010-12-20 14:51:00.000000,14062
537133,22271,1,2010-12-05 12:29:00.000000,18156
541286,22667,2,2011-01-17 13:08:00.000000,13982
540372,84991,24,2011-01-06 16:41:00.000000,13081
536530,21179,1,2010-12-01 13:21:00.000000,17905
541038,84748,6,2011-01-13 12:10:00.000000,16395
538296,84631,2,2010-12-10 13:06:00.000000,13148
540604,21977,24,2011-01-10 11:38:00.000000,15326
