customerid,country
17519,United Kingdom
14527,United Kingdom
17223,United Kingdom
14657,United Kingdom
12601,Germany
14032,United Kingdom
13319,United Kingdom
14040,United Kingdom
12747,United Kingdom
15351,United Kingdom
12490,France
13629,United Kingdom
16367,United Kingdom
16519,United Kingdom
14777,United Kingdom
13750,United Kingdom
13104,United Kingdom
13001,United Kingdom
13451,United Kingdom
17358,United Kingdom
12585,Germany
17692,United Kingdom
16520,United Kingdom
15079,United Kingdom
15822,United Kingdom
18198,United Kingdom
12557,Spain
16814,United Kingdom
17033,United Kingdom
15447,United Kingdom
17419,United Kingdom
12476,Germany
15394,United Kingdom
13448,United Kingdom
12829,United Kingdom
13034,United Kingdom
17048,United Kingdom
17220,United Kingdom
16600,United Kingdom
13140,United Kingdom
17618,United Kingdom
17860,United Kingdom
13983,United Kingdom
14565,United Kingdom
13426,United Kingdom
14755,United Kingdom
15922,United Kingdom
13506,United Kingdom
13668,United Kingdom
17865,United Kingdom
18283,United Kingdom
16850,United Kingdom
16163,United Kingdom
18075,United Kingdom
15687,United Kingdom
13094,United Kingdom
15938,United Kingdom
15805,United Kingdom
15713,United Kingdom
13144,United Kingdom
15179,United Kingdom
12551,Spain
14258,United Kingdom
16775,United Kingdom
16904,United Kingdom
17303,United Kingdom
12359,Cyprus
17827,United Kingdom
15555,United Kingdom
17912,United Kingdom
16898,United Kingdom
13078,United Kingdom
13090,United Kingdom
16235,United Kingdom
17857,United Kingdom
18032,United Kingdom
15973,United Kingdom
12875,United Kingdom
13081,United Kingdom
13700,United Kingdom
15696,United Kingdom
17968,United Kingdom
17284,United Kingdom
14560,United Kingdom
15620,United Kingdom
13209,United Kingdom
12500,Germany
16477,United Kingdom
16065,United Kingdom
12989,United Kingdom
15059,United Kingdom
16062,United Kingdom
13165,United Kingdom
16899,United Kingdom
17720,United Kingdom
12649,Germany
14479,United Kingdom
13929,United Kingdom
13680,United Kingdom
17954,United Kingdom
16098,United Kingdom
12838,United Kingdom
15296,United Kingdom
13854,United Kingdom
12963,United Kingdom
12427,Germany
14978,United Kingdom
16553,United Kingdom
15221,United Kingdom
14952,United Kingdom
13959,United Kingdom
16997,United Kingdom
14878,United Kingdom
15831,United Kingdom
16816,United Kingdom
17288,United Kingdom
13029,United Kingdom
17026,United Kingdom
15046,United Kingdom
14443,United Kingdom
13764,United Kingdom
14646,Netherlands
13089,United Kingdom
15716,United Kingdom
13162,United Kingdom
18269,United Kingdom
15279,United Kingdom
16252,United Kingdom
15694,United Kingdom
13862,United Kingdom
18004,United Kingdom
13846,United Kingdom
15673,United Kingdom
16145,United Kingdom
17676,United Kingdom
13848,United Kingdom
16019,United Kingdom
16353,United Kingdom
13310,United Kingdom
15569,United Kingdom
14810,United Kingdom
17691,United Kingdom
16596,United Kingdom
16863,United Kingdom
14114,United Kingdom
17236,United Kingdom
16554,United Kingdom
12931,United Kingdom
18233,United Kingdom
12755,Japan
17633,United Kingdom
13069,United Kingdom
14688,United Kingdom
13787,United Kingdom
16670,United Kingdom
17259,United Kingdom
17025,United Kingdom
15023,United Kingdom
12348,Finland
18065,United Kingdom
17064,United Kingdom
14081,United Kingdom
17819,United Kingdom
14057,United Kingdom
16549,United Kingdom
12567,France
15032,United Kingdom
17470,United Kingdom
18011,United Kingdom
14932,Channel Islands
16306,United Kingdom
15208,United Kingdom
14220,United Kingdom
15482,United Kingdom
18212,United Kingdom
13767,United Kingdom
18171,United Kingdom
15563,United Kingdom
16303,United Kingdom
14680,United Kingdom
14961,United Kingdom
15062,United Kingdom
14732,United Kingdom
15160,United Kingdom
17228,United Kingdom
13693,United Kingdom
17389,United Kingdom
17307,United Kingdom
17870,United Kingdom
15347,United Kingdom
14594,United Kingdom
12433,Norway
15093,United Kingdom
17449,United Kingdom
14696,United Kingdom
17611,United Kingdom
12422,Australia
14221,United Kingdom
17890,United Kingdom
13487,United Kingdom
17526,United Kingdom
18245,United Kingdom
17655,United Kingdom
12686,France
12527,Germany
15611,United Kingdom
16983,United Kingdom
14708,United Kingdom
13869,United Kingdom
12872,United Kingdom
17621,United Kingdom
15939,United Kingdom
15581,United Kingdom
16016,United Kingdom
16931,United Kingdom
14702,United Kingdom
14440,United Kingdom
14282,United Kingdom
15649,United Kingdom
16279,United Kingdom
12967,United Kingdom
15811,United Kingdom
18061,United Kingdom
16250,United Kingdom
12651,France
15660,United Kingdom
17524,United Kingdom
15759,United Kingdom
15240,United Kingdom
18230,United Kingdom
15380,United Kingdom
14135,United Kingdom
15535,United Kingdom
15862,United Kingdom
16889,United Kingdom
13769,United Kingdom
17913,United Kingdom
16203,United Kingdom
17800,United Kingdom
13313,United Kingdom
14829,United Kingdom
14514,United Kingdom
13953,United Kingdom
15860,United Kingdom
13614,United Kingdom
12626,Germany
15514,United Kingdom
12867,United Kingdom
14896,United Kingdom
16593,United Kingdom
16191,United Kingdom
14414,United Kingdom
16607,United Kingdom
13829,United Kingdom
12503,Spain
16262,United Kingdom
17580,United Kingdom
13491,United Kingdom
17511,United Kingdom
15044,United Kingdom
17211,United Kingdom
17873,United Kingdom
12971,United Kingdom
13576,United Kingdom
17338,United Kingdom
16805,United Kingdom
16858,United Kingdom
15164,United Kingdom
15708,United Kingdom
14290,United Kingdom
15373,United Kingdom
17593,United Kingdom
18037,United Kingdom
12356,Portugal
14673,United Kingdom
15370,United Kingdom
13027,United Kingdom
15587,United Kingdom
13473,United Kingdom
14715,United Kingdom
18256,United Kingdom
16711,United Kingdom
15640,United Kingdom
16686,United Kingdom
16497,United Kingdom
13155,United Kingdom
15596,United Kingdom
17848,United Kingdom
14532,United Kingdom
12785,Portugal
14916,United Kingdom
12947,United Kingdom
17735,United Kingdom
13187,United Kingdom
18074,United Kingdom
12673,Germany
14621,United Kingdom
13064,United Kingdom
17616,United Kingdom
15281,United Kingdom
15882,United Kingdom
16385,United Kingdom
14030,United Kingdom
17041,United Kingdom
13178,United Kingdom
15919,United Kingdom
17771,United Kingdom
15194,United Kingdom
13969,United Kingdom
12586,Italy
13327,United Kingdom
16539,United Kingdom
18226,United Kingdom
16907,United Kingdom
15545,United Kingdom
17809,United Kingdom
13497,United Kingdom
17816,United Kingdom
12736,France
17411,United Kingdom
13211,United Kingdom
17158,United Kingdom
18077,United Kingdom
13013,United Kingdom
18116,United Kingdom
15880,United Kingdom
14189,United Kingdom
13715,United Kingdom
14298,United Kingdom
13798,United Kingdom
14180,United Kingdom
17690,United Kingdom
16885,United Kingdom
15916,United Kingdom
16746,United Kingdom
17213,United Kingdom
17179,United Kingdom
14217,United Kingdom
13984,United Kingdom
